"Rente","",""
"Overwaarde Hypotheek","",""
"Huisbankkorting -0,2%","Een betaalpakket bij ABN AMRO, waar de maandelijkse inkomsten op binnen komen.",""
"Werknemersarrangement -0,1%","Uw klant werkt bij een bedrijf dat een werknemersarrangement bij ABN AMRO heeft.",""
"Duurzaamheidskorting -0,15%:","Nieuwbouw of woningen met deﬁnitief energielabel A",""
"Rentetarieven per 03-02-2021","",""
"Rentevastperiode","Eenmalig
Maandelijks",""
"10 jaar","2,44%
2,74%",""
"15 jaar","2,84%
3,29%",""
"20 jaar","2,99%
3,49%",""
"Aan dit overzicht kunnen geen rechten worden ontle","end.",""
"Gegenereerd op 23-03-2021 om 13:06","","1 / 1"
