"Aflosvormen: annuïtair en","lineair","","","","","","",""
"6 april 2021","t/m 60% MW","t/m 70% MW","t/m 80% MW","t/m 85% MW","t/m 90% MW","t/m 95% MW","t/m 100% MW","t/m 106% MW"
"1-2 jaar","1,07%","1,08%","1,10%","1,27%","1,27%","1,35% *","1,43% *","1,48% *"
"3-5 jaar","1,07%","1,12%","1,13%","1,27%","1,27%","1,39% *","1,47% *","1,54% *"
"6-10 jaar","1,07%","1,19%","1,21%","1,27%","1,27%","1,44% *","1,49% *","1,58% *"
"11-15 jaar","1,38% *","1,46% *","1,46% *","1,52%","1,52%","1,73% *","1,76% *","1,86% *"
"16-20 jaar","1,43% *","1,51% *","1,52% *","1,52%","1,60%","1,80% *","1,83% *","1,92% *"
"21-25 jaar","1,67%","1,77%","1,78%","1,82%","1,84%","2,11% *","2,13% *","2,14% *"
"26-30 jaar","1,70%","1,77%","1,78%","1,82%","1,88%","2,14% *","2,14% *","2,19% *"
"Aflosvormen: aflossingsvri","j","","","","","","",""
"6 april 2021","t/m 60% MW","t/m 70% MW","t/m 80% MW","t/m 85% MW","t/m 90% MW","t/m 95% MW","t/m 100% MW","t/m 106% MW"
"1-2 jaar","1,18%","1,30%","1,34%","1,39%","1,39%","1,48% *","1,55% *","1,60% *"
"3-5 jaar","1,18%","1,30%","1,34%","1,39%","1,39%","1,53% *","1,59% *","1,66% *"
"6-10 jaar","1,22%","1,34%","1,36%","1,39%","1,39%","1,56% *","1,61% *","1,70% *"
"11-15 jaar","1,50% *","1,61% *","1,61% *","1,62%","1,62%","1,83% *","1,87% *","2,02% *"
"16-20 jaar","1,56% *","1,64% *","1,64% *","1,66%","1,72%","1,90% *","1,93% *","2,11% *"
"21-25 jaar","1,87%","1,96%","1,96%","1,96%","2,05%","2,24% *","2,28% *","2,40% *"
"26-30 jaar","1,87%","1,96%","1,96%","1,97%","2,05%","2,24% *","2,28% *","2,41% *"
"*Deze tarieven zijn alleen besc","hikbaar voor bestaan","de klanten, bijvo","orbeeld bij verlen","gen of verhogen.","","","",""
