"","","","Zonder NHG","","Zonder NHG","","Zonder NHG","","Zonder NHG","","","Zonder NHG"
"NIET NIEUW","","Met NHG","","","","","","","","","",""
"af te sluiten","","","","t/m 65%","","t/m 85%","","t/m 90%","","t/m 100%","","> 100% MW"
"","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,",""
"","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige"
"","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen"
"Variabel","1,65","1,70","1,70","1,75","1,80","1,85","1,85","1,90","2,05","2,10","2,30","2,35"
"1 jaar","1,17","1,27","1,24","1,34","1,44","1,54","1,49","1,59","1,66","1,76","1,81","1,91"
"3 jaar","1,20","1,30","1,30","1,40","1,45","1,55","1,55","1,65","1,67","1,77","1,82","1,92"
"5 jaar","1,20","1,30","1,35","1,45","1,50","1,60","1,60","1,70","1,70","1,80","1,85","1,95"
"6 jaar","1,21","1,31","1,36","1,46","1,51","1,61","1,61","1,71","1,71","1,81","1,86","1,96"
"7 jaar","1,21","1,31","1,36","1,46","1,51","1,61","1,61","1,71","1,71","1,81","1,86","1,96"
"10 jaar","1,21","1,36","1,39","1,54","1,54","1,69","1,62","1,77","1,74","1,89","1,91","2,06"
"12 jaar","1,31","1,46","1,41","1,56","1,62","1,77","1,80","1,95","1,90","2,05","2,13","2,28"
"15 jaar","1,33","1,53","1,49","1,69","1,63","1,83","1,82","2,02","2,00","2,20","2,29","2,49"
"20 jaar","1,47","1,67","1,62","1,82","1,74","1,94","1,86","2,06","2,02","2,22","2,36","2,56"
"30 jaar","1,75","2,00","1,94","2,19","2,11","2,36","2,28","2,53","2,33","2,58","2,74","2,99"
"Overbrugging variabel","2,20","","","","","","","","","","",""
"Duurzaamheidskorting","0,1%","","","","","","","","","","",""
"","","","Zonder NHG","","Zonder NHG","","Zonder NHG","","Zonder NHG","","","Zonder NHG"
"NIET NIEUW","","Met NHG","","","","","","","","","",""
"af te sluiten","","","","t/m 65%","","t/m 85%","","t/m 90%","","t/m 100%","","> 100% MW"
"","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,",""
"geldt uitsluitend voor bestaande","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige"
"leningdelen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen"
"Margerente 5 jaar","","","","","","","","","","","",""
"","2,10","2,20","2,10","2,20","2,25","2,35","2,35","2,45","2,55","2,65","2,85","2,95"
"bandbreedte 0,75","","","","","","","","","","","",""
"Margerente 10 jaar","","","","","","","","","","","",""
"","2,70","2,85","2,70","2,85","2,85","3,00","2,95","3,10","3,15","3,30","3,45","3,60"
"bandbreedte 1,25","","","","","","","","","","","",""
"Margerente 15 jaar","","","","","","","","","","","",""
"","2,95","3,15","3,05","3,25","3,10","3,30","3,20","3,40","3,37","3,57","3,70","3,90"
"bandbreedte 1,75","","","","","","","","","","","",""
"Margerente 20 jaar","","","","","","","","","","","",""
"","3,16","3,36","3,21","3,41","3,30","3,50","3,45","3,65","3,66","3,86","3,95","4,15"
"bandbreedte 2,25","","","","","","","","","","","",""
"Margerente 30 jaar","","","","","","","","","","","",""
"","3,18","3,43","3,25","3,50","3,35","3,60","3,45","3,70","3,60","3,85","3,90","4,15"
"bandbreedte 2,50","","","","","","","","","","","",""
"","","","Zonder NHG","","Zonder NHG","","Zonder NHG","","Zonder NHG","","","Zonder NHG"
"NIET NIEUW","","Met NHG","","","","","","","","","",""
"af te sluiten","","","","t/m 65%","","t/m 85%","","t/m 90%","","t/m 100%","","> 100% MW"
"","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,","","Annuiteit,Lineair,",""
"geldt uitsluitend voor bestaande","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige","(bank)spaar en","Overige"
"leningdelen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen","hybride","hypotheekvormen"
"0 + 1 jr","","","","","","","","","","","",""
"","1,17","1,27","1,24","1,34","1,44","1,54","1,49","1,59","1,66","1,76","1,81","1,91"
"rentebedenktijd","","","","","","","","","","","",""
"5 + 2 jr","","","","","","","","","","","",""
"","1,21","1,31","1,36","1,46","1,51","1,61","1,61","1,71","1,71","1,81","1,86","1,96"
"rentebedenktijd","","","","","","","","","","","",""
"","2,10","2,20","2,35","2,45","2,45","2,55","2,55","2,65","2,55","2,65","2,55","2,65"
"Middelrente","","","","","","","","","","","",""
