"Geldig vanaf 01-03-2021","","","","","","","","",""
"Nummer:","21.05","","","","","","","",""
"","Nationale-Nederlanden Hypotheekrentetarief voor de Annuïteiten Hypotheek en de Lineaire Hypotheek","","","","","","","",""
"Rentevaste","","","Verhouding hypotheek/woningwaarde","","","","","",""
"periode","NHG","≤ 40%","≤ 50%","≤ 60%","≤ 70%","≤ 80%","≤ 90%","≤ 100%","> 100%"
"Variabel","1,20%","1,35%","1,35%","1,40%","1,45%","1,50%","1,60%","1,65%","1,80%"
"1 jaar","0,83%","0,98%","0,98%","1,03%","1,08%","1,13%","1,23%","1,28%","1,43%"
"2 jaar","0,85%","1,00%","1,00%","1,05%","1,10%","1,15%","1,25%","1,30%","1,45%"
"5 jaar","0,87%","1,02%","1,02%","1,07%","1,12%","1,17%","1,27%","1,32%","1,47%"
"6 jaar","0,89%","1,04%","1,04%","1,09%","1,14%","1,19%","1,29%","1,34%","1,49%"
"7 jaar","0,89%","1,04%","1,04%","1,09%","1,14%","1,19%","1,29%","1,34%","1,49%"
"10 jaar","0,90%","1,05%","1,05%","1,10%","1,15%","1,20%","1,30%","1,35%","1,50%"
"12 jaar","1,13%","1,28%","1,28%","1,33%","1,38%","1,43%","1,53%","1,58%","1,73%"
"15 jaar","1,16%","1,31%","1,31%","1,36%","1,41%","1,46%","1,56%","1,61%","1,76%"
"20 jaar","1,27%","1,42%","1,42%","1,47%","1,52%","1,57%","1,67%","1,72%","1,87%"
"30 jaar","1,53%","1,68%","1,68%","1,73%","1,78%","1,83%","1,93%","1,98%","2,13%"
"","Nationale-Nederlanden Hypotheekrentetarief voor de Aflossingsvrije en de BankSpaar Plus Hypotheek","","","","","","","",""
"Rentevaste","","","Verhouding hypotheek/woningwaarde","","","","","",""
"periode","NHG","≤ 40%","≤ 50%","≤ 60%","≤ 70%","≤ 80%","≤ 90%","≤ 100%","> 100%"
"Variabel (niet voor BSP)","1,35%","1,50%","1,50%","1,55%","1,60%","1,65%","1,75%","1,80%","1,95%"
"1 jaar","0,98%","1,13%","1,13%","1,18%","1,23%","1,28%","1,38%","1,43%","1,58%"
"2 jaar","1,00%","1,15%","1,15%","1,20%","1,25%","1,30%","1,40%","1,45%","1,60%"
"5 jaar","1,02%","1,17%","1,17%","1,22%","1,27%","1,32%","1,42%","1,47%","1,62%"
"6 jaar","1,04%","1,19%","1,19%","1,24%","1,29%","1,34%","1,44%","1,49%","1,64%"
"7 jaar","1,04%","1,19%","1,19%","1,24%","1,29%","1,34%","1,44%","1,49%","1,64%"
"10 jaar","1,05%","1,20%","1,20%","1,25%","1,30%","1,35%","1,45%","1,50%","1,65%"
"12 jaar","1,28%","1,43%","1,43%","1,48%","1,53%","1,58%","1,68%","1,73%","1,88%"
"15 jaar","1,31%","1,46%","1,46%","1,51%","1,56%","1,61%","1,71%","1,76%","1,91%"
"20 jaar","1,42%","1,57%","1,57%","1,62%","1,67%","1,72%","1,82%","1,87%","2,02%"
"30 jaar (niet voor BSP)","1,68%","1,83%","1,83%","1,88%","1,93%","1,98%","2,08%","2,13%","2,28%"
"Overig","","","","","","","","",""
"Overbruggingskrediet","","2,11%","","","","","","",""
"De geoffreerde rente is de passeerrente, ook als de rente voor de passeerdatum wijzigt.","","","","","","","","",""
"Aan dit overzicht kunnen geen rechten worden ontleend.","","","","","","","","",""
