"",Rentestanden per 28/07/2020,,,,,,,,,,,,
"",,,,,,,,,,,,,Lloyds Bank
"",Lloyds Bank Hypotheek(1),BoS Standard,,,,,Bos Budget,,,Bos Easy,,,Verhuurhypotheek
"",NHG ?65% ?80% ?90% NHG ?75%,?90% ?100%,?110%,?125%,NHG,?75%,?90% ?100%,?110%,?125%,?75% ?95%,Tarief,Tarief,?50% ?75%
variabel,1.45% 1.45% 1.60% 1.70% 1.60% 1.60%,1.75% 1.85%,2.40%,2.85%,1.45%,1.45%,1.60% 1.70%,2.25%,2.70%,1.95% 2.30%,1.85%,2.85%,
1 jaar,0.95% 1.05% 1.15% 1.25% 1.10% 1.20%,1.30% 1.40%,2.00%,2.45%,0.95%,1.05%,1.15% 1.25%,1.85%,2.30%,1.55% 1.90%,1.40%,2.45%,2.15% 2.25%
5 jaar,1.05% 1.15% 1.25% 1.35% 1.20% 1.30%,1.40% 1.50%,2.10%,2.55%,1.05%,1.15%,1.25% 1.35%,1.95%,2.40%,1.65% 2.00%,1.50%,2.55%,2.20% 2.30%
6 jaar,1.05% 1.15% 1.25% 1.35% 1.20% 1.30%,1.40% 1.50%,2.10%,2.55%,1.05%,1.15%,1.25% 1.35%,1.95%,2.40%,1.65% 2.00%,1.50%,2.55%,2.20% 2.30%
10 jaar,1.10% 1.30% 1.40% 1.50% 1.25% 1.45%,1.55% 1.65%,2.25%,2.70%,1.10%,1.30%,1.40% 1.50%,2.10%,2.55%,1.80% 2.15%,1.65%,2.70%,2.20% 2.30%
15 jaar,1.35% 1.57% 1.67% 1.77% 1.50% 1.72%,1.82% 1.92%,2.52%,2.97%,1.35%,1.57%,1.67% 1.77%,2.37%,2.82%,2.07% 2.42%,1.92%,2.97%,2.55% 2.65%
20 jaar,1.45% 1.67% 1.77% 1.87% 1.60% 1.82%,1.92% 2.02%,2.62%,3.07%,1.45%,1.67%,1.77% 1.87%,2.47%,2.92%,2.17% 2.52%,2.02%,3.07%,2.65% 2.75%
30 jaar,1.77% 1.99% 2.09% 2.19% 1.92% 2.14%,2.24% 2.34%,2.94%,3.39%,1.77%,1.99%,2.09% 2.19%,2.79%,3.24%,2.49% 2.84%,2.34%,3.39%,
variabel,1.65% 1.65% 1.80% 1.90% 1.80% 1.80%,1.95% 2.05%,2.60%,3.05%,1.65%,1.65%,1.80% 1.90%,2.45%,2.90%,2.15% 2.50%,2.05%,3.05%,
1 jaar,1.15% 1.25% 1.35% 1.45% 1.30% 1.40%,1.50% 1.60%,2.20%,2.65%,1.15%,1.25%,1.35% 1.45%,2.05%,2.50%,1.75% 2.10%,1.60%,2.65%,2.35% 2.45%
5 jaar,1.25% 1.35% 1.45% 1.55% 1.40% 1.50%,1.60% 1.70%,2.30%,2.75%,1.25%,1.35%,1.45% 1.55%,2.15%,2.60%,1.85% 2.20%,1.70%,2.75%,2.40% 2.50%
6 jaar,1.25% 1.35% 1.45% 1.55% 1.40% 1.50%,1.60% 1.70%,2.30%,2.75%,1.25%,1.35%,1.45% 1.55%,2.15%,2.60%,1.85% 2.20%,1.70%,2.75%,2.40% 2.50%
10 jaar,1.30% 1.50% 1.60% 1.70% 1.45% 1.65%,1.75% 1.85%,2.45%,2.90%,1.30%,1.50%,1.60% 1.70%,2.30%,2.75%,2.00% 2.35%,1.85%,2.90%,2.40% 2.50%
15 jaar,1.55% 1.77% 1.87% 1.97% 1.70% 1.92%,2.02% 2.12%,2.72%,3.17%,1.55%,1.77%,1.87% 1.97%,2.57%,3.02%,2.27% 2.62%,2.12%,3.17%,2.75% 2.85%
20 jaar,1.65% 1.87% 1.97% 2.07% 1.80% 2.02%,2.12% 2.22%,2.82%,3.27%,1.65%,1.87%,1.97% 2.07%,2.67%,3.12%,2.37% 2.72%,2.22%,3.27%,2.85% 2.95%
30 jaar,1.97% 2.19% 2.29% 2.39% 2.12% 2.34%,2.44% 2.54%,3.14%,3.59%,1.97%,2.19%,2.29% 2.39%,2.99%,3.44%,2.69% 3.04%,2.54%,3.59%,
