"","Aflosvormen: annuïtair en lineair","","","","","","","","",""
"1 maart 2021","NHG t/m 80% MW","NHG t/m 106% MW","t/m 60% MW","t/m 70% MW","t/m 80% MW","t/m 85% MW","t/m 90% MW","t/m 95% MW","t/m 100% MW","t/m 106% MW"
"1 maands variabel","1,42%","1,42%","1,48%","1,57%","1,59%","1,62%","1,69%","1,85%","1,85%","1,93%"
"1 - 2 jaar","0,85%","0,85%","0,98%","1,07%","1,07%","1,18%","1,22%","1,33%","1,38%","1,44%"
"3 - 5 jaar","0,87%","0,87%","1,00%","1,10%","1,11%","1,18%","1,27%","1,38%","1,44%","1,45%"
"6 - 10 jaar","0,90%","0,90%","1,04%","1,15%","1,15%","1,18%","1,29%","1,38%","1,45%","1,49%"
"11 - 15 jaar","1,11%","1,11%","1,32%","1,41%","1,42%","1,53%","1,59%","1,69%","1,75%","1,76%"
"16 - 20 jaar","1,19%","1,19%","1,35%","1,50%","1,50%","1,53%","1,62%","1,69%","1,79%","1,83%"
"21 - 25 jaar","1,45%","1,45%","1,64%","1,74%","1,74%","1,84%","1,85%","2,02%","2,08%","2,14%"
"26 - 30 jaar","1,49%","1,49%","1,65%","1,75%","1,75%","1,89%","1,95%","2,02%","2,10%","2,14%"
"Overbruggingsrente","2,70%","","","","","","","","",""
"","Aflosvormen: aflosvrij","","","","","","","","",""
"1 maart 2021","NHG t/m 80% MW","NHG t/m 106% MW","t/m 60% MW","t/m 70% MW","t/m 80% MW","t/m 85% MW","t/m 90% MW","t/m 95% MW","t/m 100% MW","t/m 106% MW"
"1 maands variabel","1,47%","1,52%","1,53%","1,62%","1,64%","1,67%","1,74%","1,92%","1,95%","2,03%"
"1 - 2 jaar","0,90%","0,95%","1,03%","1,12%","1,12%","1,23%","1,27%","1,40%","1,48%","1,54%"
"3 - 5 jaar","0,92%","0,97%","1,05%","1,15%","1,16%","1,23%","1,32%","1,45%","1,54%","1,55%"
"6 - 10 jaar","0,95%","1,00%","1,09%","1,20%","1,20%","1,23%","1,34%","1,45%","1,55%","1,59%"
"11 - 15 jaar","1,21%","1,26%","1,37%","1,46%","1,47%","1,63%","1,69%","1,81%","1,90%","1,91%"
"16 - 20 jaar","1,29%","1,34%","1,40%","1,55%","1,55%","1,63%","1,72%","1,81%","1,94%","1,98%"
"21 - 25 jaar","1,60%","1,65%","1,74%","1,84%","1,84%","1,99%","2,00%","2,19%","2,28%","2,34%"
"26 - 30 jaar","1,64%","1,69%","1,75%","1,85%","1,85%","2,04%","2,10%","2,19%","2,30%","2,34%"
"Overbruggingsrente","2,70%","","","","","","","","",""
