"Rentetarieven Vista Hypotheken","","","","","",""
"Ingangsdatum:","01/03/2021","","","","",""
"Aflostype:  Annuïtair / Lineair","","","","","",""
"Rentevaste periode","NHG","<= 60% MW","<= 80% MW","<= 90% MW","<= 95% MW","> 95% MW"
"1 jaar","0,79%","0,90%","1,03%","1,17%","1,24%","1,31%"
"5 jaar","0,86%","1,00%","1,11%","1,24%","1,29%","1,38%"
"10 jaar","0,89%","1,03%","1,16%","1,28%","1,37%","1,43%"
"15 jaar","1,10%","1,29%","1,39%","1,55%","1,62%","1,69%"
"20 jaar","1,17%","1,40%","1,50%","1,61%","1,71%","1,75%"
"30 jaar","1,49%","1,65%","1,79%","1,94%","2,02%","2,07%"
"Aflostype:  Aflossingsvrij","","","","","",""
"Rentevaste periode","NHG","<= 60% MW","<= 80% MW","<= 90% MW","<= 95% MW","> 95% MW"
"1 jaar","0,88%","0,96%","1,10%","1,24%","1,31%","1,38%"
"5 jaar","0,94%","1,06%","1,19%","1,34%","1,39%","1,48%"
"10 jaar","0,99%","1,10%","1,26%","1,36%","1,47%","1,50%"
"15 jaar","1,20%","1,43%","1,50%","1,64%","1,72%","1,78%"
"20 jaar","1,27%","1,49%","1,58%","1,68%","1,81%","1,86%"
"30 jaar","1,62%","1,75%","1,86%","1,99%","2,12%","2,14%"
"Overbruggingshypotheek","2,21%","","","","",""
"Energielabel-A rentekorting","-0,02%","","","","",""
"","Bovenstaande rentetarieven zijn exclusief Energielabel-A rentekorting","","","","",""
"","Energielabel-A rentekorting geldt niet op de overbruggingshypotheek","","","","",""
"","Deze rentetarieven zijn onder voorbehoud van typefouten","","","","",""
