Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Niet NHG,Unnamed: 4,Unnamed: 5
Rentevastperiode,NHG,≤ 60% m.w.,≤ 70% m.w.,≤ 80% m.w. ≤ 90% m.w.,≤ 95% m.w.,≤ 106% m.w.
1 jaar vast,"0,83%","0,97%","1,02%","1,07% 1,17%","1,22%","1,32%"
2 jaar vast,"0,83%","0,97%","1,02%","1,07% 1,17%","1,22%","1,32%"
3 jaar vast,"0,91%","1,04%","1,09%","1,14% 1,24%","1,29%","1,39%"
4 jaar vast,"0,91%","1,04%","1,09%","1,14% 1,24%","1,29%","1,39%"
5 jaar vast,"0,91%","1,04%","1,09%","1,14% 1,24%","1,29%","1,39%"
6 jaar vast,"0,93%","1,09%","1,14%","1,19% 1,29%","1,34%","1,44%"
7 jaar vast,"0,93%","1,09%","1,14%","1,19% 1,29%","1,34%","1,44%"
8 jaar vast,"0,93%","1,09%","1,14%","1,19% 1,29%","1,34%","1,44%"
9 jaar vast,"0,93%","1,09%","1,14%","1,19% 1,29%","1,34%","1,44%"
10 jaar vast,"0,93%","1,09%","1,14%","1,19% 1,29%","1,34%","1,44%"
11 jaar vast,"1,18%","1,38%","1,43%","1,48% 1,58%","1,63%","1,73%"
12 jaar vast,"1,18%","1,38%","1,43%","1,48% 1,58%","1,63%","1,73%"
13 jaar vast,"1,18%","1,38%","1,43%","1,48% 1,58%","1,63%","1,73%"
14 jaar vast,"1,18%","1,38%","1,43%","1,48% 1,58%","1,63%","1,73%"
15 jaar vast,"1,18%","1,38%","1,43%","1,48% 1,58%","1,63%","1,73%"
16 jaar vast,"1,29%","1,44%","1,49%","1,54% 1,64%","1,69%","1,79%"
17 jaar vast,"1,29%","1,44%","1,49%","1,54% 1,64%","1,69%","1,79%"
18 jaar vast,"1,29%","1,44%","1,49%","1,54% 1,64%","1,69%","1,79%"
19 jaar vast,"1,29%","1,44%","1,49%","1,54% 1,64%","1,69%","1,79%"
20 jaar vast,"1,29%","1,44%","1,49%","1,54% 1,64%","1,69%","1,79%"
25 jaar vast1,"1,52%","2,10%","2,15%","2,20% 2,30%","2,35%","2,45%"
30 jaar vast1,"1,52%","2,10%","2,15%","2,20% 2,30%","2,35%","2,45%"
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Niet NHG,Unnamed: 4,Unnamed: 5
Rentevastperiode,NHG,≤ 60% m.w.,≤ 70% m.w.,≤ 80% m.w. ≤ 90% m.w.,≤ 95% m.w.,≤ 106% m.w.
1 jaar vast,"0,93%","1,06%","1,11%","1,16% 1,26%","1,31%","1,41%"
2 jaar vast,"0,93%","1,06%","1,11%","1,16% 1,26%","1,31%","1,41%"
3 jaar vast,"1,02%","1,14%","1,19%","1,24% 1,34%","1,39%","1,49%"
4 jaar vast,"1,02%","1,14%","1,19%","1,24% 1,34%","1,39%","1,49%"
5 jaar vast,"1,02%","1,14%","1,19%","1,24% 1,34%","1,39%","1,49%"
6 jaar vast,"1,03%","1,14%","1,19%","1,24% 1,34%","1,39%","1,49%"
7 jaar vast,"1,03%","1,14%","1,19%","1,24% 1,34%","1,39%","1,49%"
8 jaar vast,"1,03%","1,14%","1,19%","1,24% 1,34%","1,39%","1,49%"
9 jaar vast,"1,03%","1,14%","1,19%","1,24% 1,34%","1,39%","1,49%"
10 jaar vast,"1,03%","1,14%","1,19%","1,24% 1,34%","1,39%","1,49%"
11 jaar vast,"1,30%","1,44%","1,49%","1,54% 1,64%","1,69%","1,79%"
12 jaar vast,"1,30%","1,44%","1,49%","1,54% 1,64%","1,69%","1,79%"
13 jaar vast,"1,30%","1,44%","1,49%","1,54% 1,64%","1,69%","1,79%"
14 jaar vast,"1,30%","1,44%","1,49%","1,54% 1,64%","1,69%","1,79%"
15 jaar vast,"1,30%","1,44%","1,49%","1,54% 1,64%","1,69%","1,79%"
16 jaar vast,"1,48%","1,52%","1,57%","1,62% 1,72%","1,77%","1,87%"
17 jaar vast,"1,48%","1,52%","1,57%","1,62% 1,72%","1,77%","1,87%"
18 jaar vast,"1,48%","1,52%","1,57%","1,62% 1,72%","1,77%","1,87%"
19 jaar vast,"1,48%","1,52%","1,57%","1,62% 1,72%","1,77%","1,87%"
20 jaar vast,"1,48%","1,52%","1,57%","1,62% 1,72%","1,77%","1,87%"
25 jaar vast1,"1,62%","2,25%","2,30%","2,35% 2,45%","2,50%","2,60%"
30 jaar vast1,"1,62%","2,25%","2,30%","2,35% 2,45%","2,50%","2,60%"
Rentevastperiode,NHG,niet-NHG
1 t/m 15 jaar vast,"0,50%","1,00%"
